Player,NBA.Team,Affiliation,Year,Round Number,Round Pick,Overall Pick,TeamID
Tyus Jones,Cleveland Cavaliers,Duke,2015,1,24,24,1181
Rodney Stuckey,Detroit Pistons,Eastern Washington,2007,1,15,15,1186
Tyler Harvey,Orlando Magic,Eastern Washington,2015,2,21,51,1186
Al Horford,Atlanta Hawks,Florida,2007,1,3,3,1196
Bradley Beal,Washington Wizards,Florida,2012,1,3,3,1196
Chandler Parsons,Houston Rockets,Florida,2011,2,8,38,1196
Chris Richard,Minnesota Timberwolves,Florida,2007,2,11,41,1196
Corey Brewer,Minnesota Timberwolves,Florida,2007,1,7,7,1196
David Lee,New York Knicks,Florida,2005,1,30,30,1196
Erik Murphy,Chicago Bulls,Florida,2013,2,19,49,1196
Joakim Noah,Chicago Bulls,Florida,2007,1,9,9,1196
Marreese Speights,Philadelphia 76ers,Florida,2008,1,16,16,1196
Matt Bonner,Chicago Bulls,Florida,2003,2,16,45,1196
Nick Calathes,Minnesota Timberwolves,Florida,2009,2,15,45,1196
Taurean Green,Portland Trail Blazers,Florida,2007,2,22,52,1196
Vernon Macklin,Detroit Pistons,Florida,2011,2,22,52,1196
Al Thornton,Los Angeles Clippers,Florida State,2007,1,14,14,1199
Alexander Johnson,Indiana Pacers,Florida State,2006,2,15,45,1199
Bernard James,Cleveland Cavaliers,Florida State,2012,2,3,33,1199
Chris Singleton,Washington Wizards,Florida State,2011,1,18,18,1199
Malik Beasley,Denver Nuggets,Florida State,2016,1,19,19,1199
Ryan Reid,Indiana Pacers,Florida State,2010,2,27,57,1199
Solomon Alabi,Dallas Mavericks,Florida State,2010,2,20,50,1199
Tim Pickett,New Orleans Hornets,Florida State,2004,2,15,44,1199
Toney Douglas,Los Angeles Lakers,Florida State,2009,1,29,29,1199
Von Wafer,Los Angeles Lakers,Florida State,2005,2,9,39,1199
Chris Jefferies,Los Angeles Lakers,Fresno State,2002,1,27,27,1201
Dominic McGuire,Washington Wizards,Fresno State,2007,2,17,47,1201
Melvin Ely,Los Angeles Clippers,Fresno State,2002,1,12,12,1201
Paul George,Indiana Pacers,Fresno State,2010,1,10,10,1201
Tito Maddox,Houston Rockets,Fresno State,2002,2,9,37,1201
JR Pinnock,Dallas Mavericks,George Washington,2006,2,28,58,1203
DaJuan Summers,Detroit Pistons,Georgetown,2009,2,5,35,1207
Greg Monroe,Detroit Pistons,Georgetown,2010,1,7,7,1207
Jeff Green,Boston Celtics,Georgetown,2007,1,5,5,1207
Michael Sweetney,New York Knicks,Georgetown,2003,1,9,9,1207
Otto Porter,Washington Wizards,Georgetown,2013,1,3,3,1207
Patrick Ewing Jr.,Sacramento Kings,Georgetown,2008,2,13,43,1207
Roy Hibbert,Toronto Raptors,Georgetown,2008,1,17,17,1207
Jarvis Hayes,Washington Wizards,Georgia,2003,1,10,10,1208
Kentavious Caldwell-Pope,Detroit Pistons,Georgia,2013,1,8,8,1208
Rashad Wright,Indiana Pacers,Georgia,2004,2,30,59,1208
Tornike Shengelia,Philadelphia 76ers,Georgia,2012,2,24,54,1208
Travis Leslie,Los Angeles Clippers,Georgia,2011,2,17,47,1208
Trey Thompkins,Los Angeles Clippers,Georgia,2011,2,7,37,1208
RJ Hunter,Boston Celtics,Georgia State,2015,1,28,28,1209
Chris Bosh,Toronto Raptors,Georgia Tech,2003,1,4,4,1210
Derrick Favors,New Jersey Nets,Georgia Tech,2010,1,3,3,1210
Gani Lawal,Phoenix Suns,Georgia Tech,2010,2,16,46,1210
Iman Shumpert,New York Knicks,Georgia Tech,2011,1,17,17,1210
Jarrett Jack,Denver Nuggets,Georgia Tech,2005,1,22,22,1210
Javaris Crittenton,Los Angeles Lakers,Georgia Tech,2007,1,19,19,1210
Thaddeus Young,Philadelphia 76ers,Georgia Tech,2007,1,12,12,1210
Adam Morrison,Charlotte Bobcats,Gonzaga,2006,1,3,3,1211
Austin Daye,Detroit Pistons,Gonzaga,2009,1,15,15,1211
Blake Stepp,Minnesota Timberwolves,Gonzaga,2004,2,29,58,1211
Dan Dickau,Sacramento Kings,Gonzaga,2002,1,28,28,1211
Domantas Sabonis,Oklahoma City Thunder,Gonzaga,2016,1,11,11,1211
Kelly Olynyk,Dallas Mavericks,Gonzaga,2013,1,13,13,1211
Robert Sacre,Los Angeles Lakers,Gonzaga,2012,2,30,60,1211
Ronny Turiaf,Los Angeles Lakers,Gonzaga,2005,2,7,37,1211
Charles Jenkins,Golden State Warriors,Hofstra,2011,2,14,44,1220
Brian Cook,Los Angeles Lakers,Illinois,2003,1,24,24,1228
Dee Brown,Utah Jazz,Illinois,2006,2,16,46,1228
Deron Williams,Utah Jazz,Illinois,2005,1,3,3,1228
Frank Williams,Denver Nuggets,Illinois,2002,1,25,25,1228
James Augustine,Orlando Magic,Illinois,2006,2,11,41,1228
Luther Head,Houston Rockets,Illinois,2005,1,24,24,1228
Meyers Leonard,Portland Trail Blazers,Illinois,2012,1,11,11,1228
Robert Archibald,Memphis Grizzlies,Illinois,2002,2,3,31,1228
Bracey Wright,Minnesota Timberwolves,Indiana,2005,2,17,47,1231
Cody Zeller,Charlotte Bobcats,Indiana,2013,1,4,4,1231
DJ White,Detroit Pistons,Indiana,2008,1,29,29,1231
Eric Gordon,Los Angeles Clippers,Indiana,2008,1,7,7,1231
Jared Jeffries,Washington Wizards,Indiana,2002,1,11,11,1231
Noah Vonleh,Charlotte Hornets,Indiana,2014,1,9,9,1231
Victor Oladipo,Orlando Magic,Indiana,2013,1,2,2,1231
Aaron White,Washington Wizards,Iowa,2015,2,19,49,1234
Adam Haluska,New Orleans Hornets,Iowa,2007,2,13,43,1234
Devyn Marble,Denver Nuggets,Iowa,2014,2,26,56,1234
Abdel Nader,Boston Celtics,Iowa State,2016,2,28,58,1235
Craig Brackins,Oklahoma City Thunder,Iowa State,2010,1,21,21,1235
Georges Niang,Indiana Pacers,Iowa State,2016,2,20,50,1235
Jackson Vroman,Chicago Bulls,Iowa State,2004,2,2,31,1235
Royce White,Houston Rockets,Iowa State,2012,1,16,16,1235
Will Blalock,Detroit Pistons,Iowa State,2006,2,30,60,1235
George Hill,San Antonio Spurs,IUPUI,2008,1,26,26,1237
Andrew Wiggins,Cleveland Cavaliers,Kansas,2014,1,1,1,1242
Ben McLemore,Sacramento Kings,Kansas,2013,1,7,7,1242
Brandon Rush,Portland Trail Blazers,Kansas,2008,1,13,13,1242
Cheick Diallo,LA Clippers,Kansas,2016,2,3,33,1242
Cole Aldrich,New Orleans Hornets,Kansas,2010,1,11,11,1242
Darnell Jackson,Miami Heat,Kansas,2008,2,22,52,1242
Darrell Arthur,New Orleans Hornets,Kansas,2008,1,27,27,1242
Drew Gooden,Memphis Grizzlies,Kansas,2002,1,4,4,1242
Jeff Withey,Portland Trail Blazers,Kansas,2013,2,9,39,1242
Joel Embiid,Philadelphia 76ers,Kansas,2014,1,3,3,1242
Josh Selby,Memphis Grizzlies,Kansas,2011,2,19,49,1242
Julian Wright,New Orleans Hornets,Kansas,2007,1,13,13,1242
Kelly Oubre Jr.,Atlanta Hawks,Kansas,2015,1,15,15,1242
Kirk Hinrich,Chicago Bulls,Kansas,2003,1,7,7,1242
Marcus Morris,Houston Rockets,Kansas,2011,1,14,14,1242
Mario Chalmers,Minnesota Timberwolves,Kansas,2008,2,4,34,1242
Markieff Morris,Phoenix Suns,Kansas,2011,1,13,13,1242
Nick Collison,Seattle SuperSonics,Kansas,2003,1,12,12,1242
Sasha Kaun,Oklahoma City Thunder,Kansas,2008,2,26,56,1242
Thomas Robinson,Sacramento Kings,Kansas,2012,1,5,5,1242
Tyshawn Taylor,Portland Trail Blazers,Kansas,2012,2,11,41,1242
Wayne Simien,Miami Heat,Kansas,2005,1,29,29,1242
Xavier Henry,Memphis Grizzlies,Kansas,2010,1,12,12,1242
Henry Walker,Washington Wizards,Kansas State,2008,2,17,47,1243
Michael Beasley,Miami Heat,Kansas State,2008,1,2,2,1243
Andrew Harrison,Phoenix Suns,Kentucky,2015,2,14,44,1246
Anthony Davis,New Orleans Hornets,Kentucky,2012,1,1,1,1246
