College.TeamID,Loss.Effect.Season,College.Season.End,Players.Lost
1458,2012,2011,1
0,2013,2012,8
1124,2013,2012,3
1163,2013,2012,2
1181,2013,2012,2
1196,2013,2012,1
1199,2013,2012,1
1208,2013,2012,1
1211,2013,2012,1
1228,2013,2012,1
1235,2013,2012,1
1242,2013,2012,2
1246,2013,2012,6
1261,2013,2012,1
1266,2013,2012,2
1272,2013,2012,1
1277,2013,2012,1
1280,2013,2012,1
1281,2013,2012,2
1313,2013,2012,1
1314,2013,2012,4
1326,2013,2012,1
1333,2013,2012,1
1345,2013,2012,1
1364,2013,2012,1
1382,2013,2012,1
1385,2013,2012,1
1393,2013,2012,3
1399,2013,2012,1
1401,2013,2012,1
1435,2013,2012,3
1438,2013,2012,1
1449,2013,2012,2
1451,2013,2012,1
0,2014,2013,13
1112,2014,2013,2
1113,2014,2013,1
1124,2014,2013,1
1137,2014,2013,1
1143,2014,2013,1
1160,2014,2013,1
1161,2014,2013,1
1178,2014,2013,1
1181,2014,2013,2
1196,2014,2013,1
1207,2014,2013,1
1208,2014,2013,1
1211,2014,2013,1
1231,2014,2013,2
1242,2014,2013,2
1246,2014,2013,2
1250,2014,2013,1
1253,2014,2013,1
1257,2014,2013,2
1268,2014,2013,1
1274,2014,2013,1
1276,2014,2013,3
1281,2014,2013,1
1293,2014,2013,1
1301,2014,2013,1
1307,2014,2013,1
1314,2014,2013,1
1317,2014,2013,1
1326,2014,2013,1
1328,2014,2013,1
1332,2014,2013,1
1338,2014,2013,1
1344,2014,2013,1
1355,2014,2013,1
1361,2014,2013,1
1393,2014,2013,1
1417,2014,2013,1
1424,2014,2013,1
1439,2014,2013,1
0,2015,2014,15
1112,2015,2014,2
1124,2015,2014,1
1155,2015,2014,1
1160,2015,2014,1
1163,2015,2014,2
1166,2015,2014,1
1181,2015,2014,2
1231,2015,2014,1
1234,2015,2014,1
1242,2015,2014,2
1246,2015,2014,2
1257,2015,2014,1
1261,2015,2014,1
1276,2015,2014,3
1277,2015,2014,2
1281,2015,2014,1
1301,2015,2014,1
1307,2015,2014,1
1329,2015,2014,2
1338,2015,2014,1
1361,2015,2014,1
1390,2015,2014,2
1393,2015,2014,2
1397,2015,2014,2
1417,2015,2014,3
1418,2015,2014,1
1438,2015,2014,1
1449,2015,2014,1
1453,2015,2014,1
1455,2015,2014,1
1462,2015,2014,1
0,2016,2015,14
1112,2016,2015,2
1116,2016,2015,1
1130,2016,2015,1
1132,2016,2015,1
1181,2016,2015,3
1186,2016,2015,1
1209,2016,2015,1
1234,2016,2015,1
1242,2016,2015,1
1246,2016,2015,6
1257,2016,2015,2
1261,2016,2015,2
1269,2016,2015,1
1277,2016,2015,1
1293,2016,2015,1
1314,2016,2015,1
1323,2016,2015,2
1326,2016,2015,1
1332,2016,2015,1
1385,2016,2015,1
1390,2016,2015,1
1393,2016,2015,2
1397,2016,2015,1
1400,2016,2015,1
1417,2016,2015,2
1424,2016,2015,1
1428,2016,2015,1
1437,2016,2015,1
1438,2016,2015,1
1456,2016,2015,1
1458,2016,2015,2
1461,2016,2015,1
0,2017,2016,16
1124,2017,2016,1
1143,2017,2016,2
1163,2017,2016,1
1181,2017,2016,1
1199,2017,2016,1
1211,2017,2016,1
1235,2017,2016,2
1242,2017,2016,1
1246,2017,2016,3
1257,2017,2016,1
1261,2017,2016,1
1266,2017,2016,1
1268,2017,2016,2
1276,2017,2016,1
1277,2017,2016,2
1308,2017,2016,1
1314,2017,2016,2
1323,2017,2016,1
1324,2017,2016,1
1328,2017,2016,2
1344,2017,2016,2
1345,2017,2016,1
1371,2017,2016,1
1386,2017,2016,1
1393,2017,2016,2
1424,2017,2016,2
1428,2017,2016,1
1435,2017,2016,2
1438,2017,2016,1
1449,2017,2016,2
1451,2017,2016,1
